tau,energy
0.0,5.630763652752696
0.1,5.666426688112432
0.2,5.162879395652932
0.3,5.205836513753872
0.4,4.012772908528289
0.5,3.1570004211501135
0.6,2.507896168012699
0.7,1.975931165310171
0.8,1.4786676812509056
0.9,1.3148353971377458
1.0,1.0319844163126564
1.1,0.9802132998046942
1.2,0.5753641449035618
1.3,0.4862264647526227
1.4,0.385320542015697
1.5,0.2909747985087569
1.6,0.3361039803106619
1.7,0.2135741002980589
1.8,0.08718791507818086
1.9,0.044537854430901476
2.0,0.045368605029851086
2.1,0.03953083875663522
2.2,-0.0498607759802929
2.3,-0.007984074348220755
2.4,-0.05384323202082316
2.5,-0.07577830888707882
2.6,0.022245608947319737
2.7,-0.01626052087178029
2.8,-0.13408311677644888
2.9,-0.19805262932068335
3.0,-0.12389276378675396
3.1,-0.13465688514625726
3.2,-0.18149202543157908
3.3,-0.23067181773500142
3.4,-0.006674107087693243
3.5,-0.0964318849135251
3.6,-0.08801974654164581
3.7,-0.2130665633638531
3.8,-0.1395412161851002
3.9,-0.014423326961105164
4.0,-0.010025146619378818
4.1,0.05613718681998199
4.2,0.05292240145434253
4.3,-0.015190165493975233
4.4,0.02127739844728466
4.5,0.06713930283762852
4.6,-0.04959694113937218
4.7,-0.04393092922572654
4.8,-0.15139964645536827
4.9,-0.10850742141601914
5.0,-0.03955317838602157
5.1,-0.11905936001598821
5.2,-0.14310084364067344
5.3,-0.12070274575971829
5.4,-0.003129893008927593
5.5,-0.030562650410166696
5.6,0.07109592168373026
5.7,-0.08479653666007704
5.8,0.0749858068845626
5.9,0.11732188738904571
6.0,0.06453852113757116
6.1,0.10622221325530742
6.2,0.14107859825990543
6.3,0.1561607307552827
6.4,0.07820074730747475
6.5,0.05153365011518288
6.6,-0.08468308723003892
6.7,-0.16573264410087057
6.8,0.025975486403260736
6.9,-0.13235145148467398
7.0,-0.0993724738132036
7.1,-0.05582844955294184
7.2,0.02506396866321622
7.3,0.06093255099515731
7.4,-0.06267110696277556
7.5,-0.05798725765034928
7.6,0.010810916104215676
7.7,0.11778303565638346
7.8,-0.22073100490882583
7.9,-0.1197079640659679
8.0,-0.13217177310848308
8.1,-0.02770260254933571
8.2,-0.15906469462968753
8.3,-0.20600404143751377
8.4,0.018127384592556483
8.5,-0.23907437338640414
8.6,-0.03484673133016807
8.7,-0.174941449496332
8.8,-0.05971923470162231
8.9,-0.13941953524974512
9.0,-0.10406935989420661
9.1,-0.1046706225638888
9.2,-0.2876820724517809
9.3,-0.22621575035117983
9.4,-0.3011050927839215
9.5,0.0
9.6,-0.033616610798984856
9.7,-0.14903557916048796
9.8,0.14310084364067324
9.9,0.027398974188114347
10.0,0.03226086221822126
10.1,-0.1918910078101054
10.2,0.0
10.3,-0.14541699985850381
10.4,-0.2592196077880194
10.5,-0.17351092711179963
10.6,-0.1880522315029396
10.7,-0.13778370236305298
10.8,-0.2402798335571969
10.9,-0.23875144898020073
11.0,-0.07571182173569636
11.1,-0.2595111954850844
11.2,0.0
11.3,-0.12883287184296857
11.4,-0.14763599880606468
11.5,-0.1823215567939546
11.6,0.057819570888826236
11.7,-0.06213178110700616
11.8,-0.11778303565638351
11.9,-0.35244063979994394
12.0,-0.056352936551131744
12.1,-0.1823215567939546
12.2,0.17185025692665923
12.3,0.2795848622191615
12.4,0.3822082459438971
12.5,0.13815033848081737
12.6,0.16332505610329945
12.7,0.4618180446592962
12.8,0.5663954749208013
12.9,0.18859116980755017
13.0,0.30421137440299156
13.1,0.109199291964992
13.2,0.5371429320833639
13.3,0.0
13.4,0.22314355131420976
13.5,0.12014431184206321
13.6,-0.048790164169432056
13.7,-0.3964152725882465
13.8,0.083381608939051
13.9,0.30538164955118174
14.0,0.2029408439966902
14.1,-0.060624621816434854
14.2,0.08004270767353615
14.3,0.4168938039317871
14.4,0.4737843520856414
14.5,0.5306282510621704
14.6,0.5996211225491219
14.7,0.0
14.8,0.16126814759612232
14.9,0.3794896217049037
15.0,0.1690763300439339
15.1,-0.0317486983145803
15.2,0.27871340246902065
15.3,0.5045560107523952
15.4,0.22314355131420976
15.5,0.43721380642274466
15.6,0.0
15.7,0.28768207245178085
15.8,0.19004360288786487
15.9,-0.16126814759612226
16.0,-0.49899116611898775
16.1,-0.325422400434628
16.2,-0.39390428570708824
16.3,0.0
16.4,-0.5108256237659905
16.5,0.0
16.6,0.1445812288111075
16.7,-0.2578291093020998
16.8,-0.2876820724517809
16.9,-0.45547552868282576
17.0,-0.14107859825990537
17.1,-0.03278982282299073
17.2,-0.025317807984289783
17.3,0.0
17.4,-0.2363887780642304
17.5,0.10265415406008337
17.6,-0.23483959107740093
17.7,-0.028987536873252187
17.8,0.26469255422708216
17.9,0.1823215567939546
18.0,-0.25489224962879004
18.1,-0.5108256237659905
18.2,-0.28768207245178123
18.3,-0.31365755885504165
18.4,-0.5306282510621706
18.5,-0.0714589639821451
18.6,0.5280674302004967
18.7,-0.31365755885504165
18.8,0.20479441264601306
18.9,0.4054651081081642
19.0,0.5389965007326871
19.1,0.6359887667199967
19.2,-0.1823215567939546
19.3,0.2623642644674909
19.4,0.24116205681688788
19.5,-0.2876820724517809
19.6,0.3136575588550416
19.7,-0.28768207245178123
19.8,-0.30010459245033816
19.9,-0.3715635564324831
20.0,0.09531017980432474
20.1,-0.40546510810816444
20.2,-0.5436154465889816
20.3,-0.40546510810816444
20.4,0.0
20.5,-0.13353139262452263
20.6,-0.5978370007556204
20.7,0.14660347419187544
20.8,0.13353139262452277
20.9,0.23638877806423017
21.0,0.125163142954006
21.1,0.3022808718729337
21.2,0.3746934494414107
21.3,0.0
21.4,-0.45198512374305744
21.5,-0.45953232937844
21.6,-0.1823215567939546
21.7,0.0
21.8,-0.17185025692665928
21.9,0.04879016416943205
22.0,-0.723918839226699
22.1,0.38776553100876343
22.2,0.044451762570833796
22.3,0.3364722366212129
22.4,-0.1823215567939546
22.5,0.0
22.6,0.0
22.7,0.6931471805599453
22.8,0.5753641449035618
22.9,-0.2076393647782445
23.0,0.5260930958967792
23.1,-0.325422400434628
23.2,0.3566749439387324
23.3,-1.3121863889661687
23.4,-0.060624621816434854
23.5,-0.08701137698962969
23.6,0.5596157879354225
23.7,0.3184537311185346
23.8,0.10536051565782635
23.9,0.3364722366212129
24.0,0.6931471805599453
24.1,-0.2623642644674911
24.2,0.6505875661411494
24.3,0.49247648509779407
24.4,-0.45198512374305744
24.5,0.10536051565782635
24.6,-0.9808292530117264
24.7,0.06899287148695163
24.8,-0.15415067982725797
24.9,-0.13353139262452302
25.0,-0.4353180712578455
25.1,-0.7884573603642702
25.2,0.17185025692665923
25.3,0.6061358035703156
25.4,0.0
25.5,-0.060624621816434854
25.6,-0.6931471805599453
25.7,-0.9808292530117264
25.8,-0.2076393647782445
25.9,-0.587786664902119
26.0,-0.7537718023763802
26.1,0.3184537311185346
26.2,0.08004270767353615
26.3,-0.2411620568168881
26.4,-0.5596157879354225
26.5,-1.041453874828161
26.6,0.20067069546215124
26.7,0.07410797215372183
26.8,0.4054651081081642
26.9,0.7419373447293773
27.0,0.20067069546215124
27.1,0.15415067982725816
27.2,-0.2231435513142097
27.3,-0.15415067982725797
27.4,-0.2623642644674911
27.5,-0.8109302162163288
27.6,-0.45198512374305744
27.7,0.6931471805599453
27.8,0.1823215567939548
27.9,0.20067069546215124
28.0,-0.40546510810816444
28.1,0.11778303565638326
28.2,0.3566749439387324
28.3,0.0
28.4,-0.1053605156578264
28.5,0.4054651081081644
28.6,-0.7621400520468969
28.7,0.5753641449035618
28.8,-0.5108256237659905
28.9,0.13353139262452277
29.0,-0.5108256237659905
29.1,0.4418327522790391
29.2,0.28768207245178085
29.3,0.251314428280906
29.4,0.7884573603642703
29.5,0.9808292530117262
29.6,0.13353139262452277
29.7,0.8754687373539001
29.8,0.0
29.9,0.0
30.0,-0.1053605156578264
30.1,0.28768207245178085
30.2,-0.07410797215372185
30.3,0.10536051565782635
30.4,-0.1053605156578264
30.5,0.08701137698962949
30.6,-0.2513144282809062
30.7,-0.11778303565638351
30.8,0.251314428280906
30.9,-0.6061358035703154
31.0,-0.08701137698962969
31.1,-0.8754687373538999
31.2,0.0
31.3,0.08701137698962949
31.4,-0.7731898882334817
31.5,0.7884573603642703
31.6,-0.9555114450274365
31.7,0.5108256237659907
31.8,-1.09861228866811
31.9,-0.2076393647782445
32.0,0.4519851237430572
32.1,-0.6190392084062233
32.2,-0.48550781578170077
32.3,0.251314428280906
32.4,-0.15415067982725797
32.5,0.13353139262452277
32.6,-0.40546510810816444
32.7,-0.916290731874155
32.8,-0.916290731874155
32.9,0.4054651081081642
33.0,0.6931471805599453
33.1,0.4054651081081642
33.2,-0.2231435513142097
33.3,0.22314355131420976
33.4,0.15415067982725816
33.5,-1.9459101490553132
33.6,-0.13353139262452302
33.7,-0.40546510810816444
33.8,-0.15415067982725797
33.9,0.22314355131420976
34.0,-0.8109302162163288
34.1,0.0
34.2,0.4054651081081642
34.3,0.5108256237659907
34.4,0.0
34.5,0.0
34.6,0.5108256237659907
34.7,0.5108256237659907
34.8,-0.2231435513142097
34.9,0.1823215567939548
35.0,0.3364722366212129
35.1,-0.15415067982725797
35.2,-0.28768207245178123
35.3,-0.5596157879354225
35.4,-0.1823215567939546
35.5,-0.3184537311185346
35.6,-1.0116009116784799
35.7,-0.2513144282809062
35.8,-0.587786664902119
35.9,-0.3364722366212129
36.0,0.0
36.1,-1.0986122886681098
36.2,-0.6931471805599453
36.3,-0.6931471805599453
36.4,-0.5596157879354225
36.5,0.22314355131420976
36.6,0.0
36.7,1.3862943611198906
36.8,1.0986122886681096
36.9,0.6931471805599453
37.0,-0.40546510810816444
37.1,-0.5108256237659905
37.2,1.0986122886681096
37.3,-0.6931471805599453
37.4,-0.1823215567939546
37.5,0.0
37.6,0.3364722366212129
37.7,-0.28768207245178123
37.8,0.6931471805599453
37.9,0.0
38.0,-1.0986122886681098
38.1,0.5108256237659907
38.2,-0.5108256237659905
38.3,0.47000362924573563
38.4,-0.5596157879354225
38.5,0.0
38.7,0.5108256237659907
38.8,-0.2231435513142097
38.9,1.3862943611198906
39.0,0.5108256237659907
39.1,-0.916290731874155
39.2,0.5108256237659907
39.3,0.5108256237659907
39.4,-1.9459101490553132
39.8,0.6931471805599453
39.9,0.9162907318741551
40.0,2.0794415416798357
40.2,0.0
40.3,0.5596157879354225
40.4,0.0
40.5,1.9459101490553132
40.6,0.9162907318741551
40.7,0.0
40.8,0.6931471805599453
40.9,0.0
41.1,1.9459101490553132
41.2,1.6094379124341003
41.3,-0.6931471805599453
41.4,-0.5108256237659905
41.5,1.252762968495368
41.7,0.0
41.8,0.0
41.9,0.6931471805599453
42.1,0.0
42.2,1.0986122886681096
42.3,-0.8472978603872036
42.5,0.28768207245178085
42.6,0.6931471805599453
42.8,0.6931471805599453
42.9,-1.0986122886681098
43.0,0.0
43.2,0.0
43.4,0.6931471805599453
43.5,-0.916290731874155
43.6,1.0986122886681096
43.7,0.6931471805599453
43.8,1.0986122886681096
43.9,0.0
44.1,0.4054651081081642
44.2,-0.40546510810816444
44.4,1.3862943611198906
44.5,0.0
44.6,1.3862943611198906
44.7,0.6931471805599453
44.9,0.6931471805599453
45.1,0.6931471805599453
45.3,1.6094379124341003
45.4,0.4054651081081642
45.5,0.0
45.7,-0.40546510810816444
46.1,0.0
46.4,0.6931471805599453
46.6,1.6094379124341003
46.9,0.0
47.0,-0.6931471805599453
47.2,0.6931471805599453
47.5,1.0986122886681096
47.7,0.6931471805599453
47.9,0.0
48.3,0.0
48.4,0.0
48.7,0.0
49.0,0.0
49.3,-0.40546510810816444
49.7,0.0
49.8,0.6931471805599453
50.1,0.6931471805599453
50.2,1.0986122886681096
50.3,0.0
50.4,0.22314355131420976
50.5,-0.40546510810816444
50.7,0.0
50.9,-0.6931471805599453
51.1,0.0
51.7,1.0986122886681096
52.1,-1.0986122886681098
52.4,0.0
52.5,0.6931471805599453
52.7,0.0
53.0,-1.3862943611198906
53.1,0.4054651081081642
53.2,0.4054651081081642
53.3,0.0
53.4,-0.6931471805599453
53.5,1.0986122886681096
53.6,1.0986122886681096
53.7,1.3862943611198906
53.8,0.6931471805599453
54.0,0.28768207245178085
54.3,0.6931471805599453
54.4,0.0
54.5,0.6931471805599453
54.7,-0.6931471805599453
55.3,0.0
55.5,0.4054651081081642
55.6,0.0
55.7,1.3862943611198906
56.1,1.0986122886681096
56.4,0.6931471805599453
56.5,0.0
56.8,-0.6931471805599453
56.9,0.6931471805599453
57.2,1.0986122886681096
57.3,1.0986122886681096
57.5,-0.6931471805599453
57.6,-0.40546510810816444
57.7,0.0
57.8,0.0
57.9,0.0
58.0,-1.0986122886681098
58.1,-0.40546510810816444
58.3,1.0986122886681096
58.4,0.0
58.5,0.0
58.6,0.0
58.8,0.6931471805599453
58.9,-0.40546510810816444
59.0,0.9162907318741551
59.1,0.6931471805599453
59.2,0.0
59.3,-0.6931471805599453
59.4,-0.6931471805599453
60.0,0.6931471805599453
60.5,0.6931471805599453
60.9,-0.6931471805599453
61.7,0.0
61.8,0.0
62.3,0.6931471805599453
62.6,0.0
62.7,0.0
62.8,-0.6931471805599453
63.1,-0.6931471805599453
63.3,0.0
63.5,0.0
63.6,1.0986122886681096
63.8,0.0
63.9,0.6931471805599453
64.3,1.3862943611198906
64.8,0.0
64.9,0.6931471805599453
65.0,0.6931471805599453
65.1,-0.6931471805599453
65.2,1.0986122886681096
66.1,1.6094379124341003
66.2,0.0
66.3,-0.6931471805599453
66.5,0.0
66.8,1.0986122886681096
66.9,0.6931471805599453
67.0,0.0
67.1,0.0
67.2,1.0986122886681096
67.4,-0.6931471805599453
67.5,-0.6931471805599453
67.6,-0.6931471805599453
67.9,0.0
68.0,0.6931471805599453
68.3,0.6931471805599453
68.4,0.0
68.8,0.6931471805599453
70.0,0.0
70.1,0.0
70.2,0.4054651081081642
70.3,0.0
71.2,1.3862943611198906
72.3,0.6931471805599453
72.8,-0.6931471805599453
72.9,0.0
73.0,-0.40546510810816444
73.1,0.0
73.2,0.0
73.3,0.0
73.5,0.0
73.9,-0.6931471805599453
74.4,-0.6931471805599453
75.9,0.0
76.1,0.0
76.2,0.0
77.8,0.0
77.9,0.0
78.5,0.0
79.2,-0.6931471805599453
79.3,1.0986122886681096
80.1,0.0
80.2,0.6931471805599453
80.3,0.0
80.4,-0.6931471805599453
80.5,0.0
83.7,0.0
84.3,0.0
89.0,0.6931471805599453
89.5,0.0
89.8,0.6931471805599453
91.0,0.0
96.3,0.6931471805599453
96.8,-0.6931471805599453
97.1,0.0
97.2,0.0
97.3,0.0
97.5,0.0
97.9,-1.0986122886681098
98.0,-0.6931471805599453
98.1,-0.6931471805599453
98.2,0.4054651081081642
98.3,0.0
98.4,1.3862943611198906
98.6,-0.6931471805599453
99.6,0.0
99.7,0.0
100.2,0.0
100.6,0.0
100.9,-0.6931471805599453
101.1,-0.6931471805599453
101.3,1.0986122886681096
102.3,0.0
102.4,0.6931471805599453
103.3,-0.6931471805599453
103.4,-0.6931471805599453
103.9,-0.6931471805599453
104.0,0.0
104.3,-1.0986122886681098
104.4,-1.0986122886681098
104.6,0.0
105.3,-1.0986122886681098
105.4,0.0
105.6,-0.6931471805599453
105.7,0.0
106.1,0.0
106.2,0.6931471805599453
106.3,-1.0986122886681098
106.5,0.0
106.8,0.0
106.9,-0.6931471805599453
107.4,0.0
107.6,0.0
107.8,0.0
108.0,-1.3862943611198906
108.1,0.0
108.3,0.0
108.4,-0.6931471805599453
108.7,0.0
109.6,0.0
110.7,0.0
111.1,0.0
111.7,0.0
112.7,0.0
116.1,-0.6931471805599453
116.4,-1.0986122886681098
116.6,0.0
116.7,-0.6931471805599453
117.1,-0.6931471805599453
117.2,0.0
118.3,0.0
118.5,0.0
118.6,-0.6931471805599453
121.6,0.6931471805599453
124.3,0.0
128.1,0.0
137.9,0.6931471805599453
138.0,0.0
154.0,0.0
154.8,0.6931471805599453
163.0,0.0
163.3,0.0
163.9,0.0
165.6,0.0
176.8,0.0
195.6,0.6931471805599453
196.1,0.0
205.0,0.0
248.9,0.0
250.4,0.0
299.9,-0.6931471805599453
inf,-0.0027826419849904323
